deal,year,month
14.42,2007,1
8.05,2007,2
18.66,2007,3
20.47,2007,4
18.89,2007,5
24.83,2007,6
19.45,2007,7
20.21,2007,8
21.19,2007,9
19.11,2007,10
39.42,2007,11
41.06,2007,12
21.19,2008,1
13.48,2008,2
20.3,2008,3
20.85,2008,4
19.2,2008,5
21.31,2008,6
23.04,2008,7
20.14,2008,8
21.14,2008,9
22.81,2008,10
23.32,2008,11
26.58,2008,12
18.02,2009,1
21.64,2009,2
28.92,2009,3
29.32,2009,4
24.75,2009,5
27.57,2009,6
26.17,2009,7
27.82,2009,8
32.34,2009,9
31.24,2009,10
30.46,2009,11
36.27,2009,12
25.97,2010,1
17.54,2010,2
33.16,2010,3
33.05,2010,4
30.58,2010,5
30.29,2010,6
29.32,2010,7
31.35,2010,8
33.36,2010,9
32.25,2010,10
38.5,2010,11
42.61,2010,12
28.97,2011,1
20.04,2011,2
38.09,2011,3
35.71,2011,4
35.29,2011,5
37.11,2011,6
35.24,2011,7
37.32,2011,8
36.8,2011,9
37.91,2011,10
43.52,2011,11
47.23,2011,12
25.49,2012,1
35.1,2012,2
48.07,2012,3
40.36,2012,4
39.94,2012,5
39.92,2012,6
39.67,2012,7
38.38,2012,8
38.93,2012,9
39.14,2012,10
43.64,2012,11
47.97,2012,12
40.98,2013,1
28.59,2013,2
48.7,2013,3
46.24,2013,4
44.84,2013,5
40.62,2013,6
44.47,2013,7
44.23,2013,8
41.87,2013,9
43.28,2013,10
46.36,2013,11
53.37,2013,12
45.46,2014,1
32.95,2014,2
51.37,2014,3
50.15,2014,4
48.71,2014,5
50.43,2014,6
52.38,2014,7
48.98,2014,8
54.06,2014,9
53.28,2014,10
53.91,2014,11
60.18,2014,12
49.04,2015,1
36.58,2015,2
52.72,2015,3
54.89,2015,4
52.0,2015,5
76.0,2015,6
77.05,2015,7
74.79,2015,8
78.36,2015,9
72.02,2015,10
84.64,2015,11
101.68,2015,12
80.63,2016,1
57.92,2016,2
88.4,2016,3
85.53,2016,4
83.08,2016,5
81.87,2016,6
81.73,2016,7
86.3,2016,8
89.3,2016,9
88.51,2016,10
99.35,2016,11
108.12,2016,12
88.65,2017,1
82.5,2017,2
107.98,2017,3
101.87,2017,4
99.41,2017,5
103.31,2017,6
100.19,2017,7
105.25,2017,8
109.53,2017,9
103.72,2017,10
114.6,2017,11
123.09,2017,12
118.84,2018,1
79.4,2018,2
120.92,2018,3
115.12,2018,4
120.3,2018,5
105.67,2018,6
113.65,2018,7
118.77,2018,8
122.06,2018,9
118.18,2018,10
127.57,2018,11
121.72,2018,12
119.78,2019,1
80.73,2019,2
125.06,2019,3
120.06,2019,4
116.11,2019,5
124.44,2019,6
121.3,2019,7
119.86,2019,8
131.18,2019,9
126.74,2019,10
138.37,2019,11
168.64,2019,12
98.48,2020,1
7.11,2020,2
94.97,2020,3
111.34,2020,4
117.29,2020,5
122.46,2020,6
126.15,2020,7
133.67,2020,8
146.62,2020,9
147.89,2020,10
157.83,2020,11
170.79,2020,12
143.16,2021,1
95.53,2021,2
156.9,2021,3
148.92,2021,4
146.21,2021,5
152.69,2021,6
145.9,2021,7
149.82,2021,8
157.53,2021,9
145.64,2021,10
154.37,2021,11
161.82,2021,12
148.46,2022,1
107.68,2022,2
131.81,2022,3
110.06,2022,4
118.84,2022,5
141.65,2022,6
144.33,2022,7
146.76,2022,8
148.52,2022,9
135.18,2022,10
127.84,2022,11
141.64,2022,12
124.82,2023,1
145.88,2023,2
156.74,2023,3
146.41,2023,4
149.68,2023,5
0.0,2023,6
