gdp,year,month
53480.3,2007.0,3
55392.46666666667,2007.0,4
57304.63333333334,2007.0,5
59216.8,2007.0,6
59844.333333333336,2007.0,7
60471.86666666667,2007.0,8
61099.4,2007.0,9
63199.333333333336,2007.0,10
65299.26666666666,2007.0,11
67399.2,2007.0,12
59640.3,2008.0,3
61660.166666666664,2008.0,4
63680.03333333333,2008.0,5
65699.9,2008.0,6
66106.4,2008.0,7
66512.9,2008.0,8
66919.4,2008.0,9
68684.03333333333,2008.0,10
70448.66666666667,2008.0,11
72213.3,2008.0,12
63431.9,2009.0,3
65984.73333333334,2009.0,4
68537.56666666667,2009.0,5
71090.4,2009.0,6
72067.76666666666,2009.0,7
73045.13333333333,2009.0,8
74022.5,2009.0,9
76276.7,2009.0,10
78530.90000000001,2009.0,11
80785.1,2009.0,12
71168.0,2010.0,3
73694.3,2010.0,4
76220.59999999999,2010.0,5
78746.9,2010.0,6
79620.16666666666,2010.0,7
80493.43333333333,2010.0,8
81366.7,2010.0,9
83851.5,2010.0,10
86336.3,2010.0,11
88821.1,2010.0,12
98902.8,2011.0,3
102706.6,2011.0,4
106510.4,2011.0,5
110314.2,2011.0,6
111950.63333333333,2011.0,7
113587.06666666667,2011.0,8
115223.5,2011.0,9
119162.2,2011.0,10
123100.90000000001,2011.0,11
127039.6,2011.0,12
106938.5,2012.0,3
110878.13333333333,2012.0,4
114817.76666666666,2012.0,5
118757.4,2012.0,6
120477.26666666666,2012.0,7
122197.13333333333,2012.0,8
123917.0,2012.0,9
128401.46666666666,2012.0,10
132885.93333333332,2012.0,11
137370.4,2012.0,12
115342.5,2013.0,3
119476.3,2013.0,4
123610.09999999999,2013.0,5
127743.9,2013.0,6
129746.46666666666,2013.0,7
131749.03333333333,2013.0,8
133751.6,2013.0,9
138489.46666666667,2013.0,10
143227.33333333334,2013.0,11
147965.2,2013.0,12
124032.7,2014.0,3
128514.23333333332,2014.0,4
132995.76666666666,2014.0,5
137477.3,2014.0,6
139467.56666666665,2014.0,7
141457.83333333334,2014.0,8
143448.1,2014.0,9
148570.63333333333,2014.0,10
153693.1666666667,2014.0,11
158815.7,2014.0,12
132883.8,2015.0,3
137681.0,2015.0,4
142478.19999999998,2015.0,5
147275.4,2015.0,6
149343.23333333334,2015.0,7
151411.06666666665,2015.0,8
153478.9,2015.0,9
158930.23333333334,2015.0,10
164381.56666666665,2015.0,11
169832.9,2015.0,12
161760.5,2016.0,3
167836.33333333334,2016.0,4
173912.16666666666,2016.0,5
179988.0,2016.0,6
182861.06666666668,2016.0,7
185734.13333333333,2016.0,8
188607.2,2016.0,9
194298.4,2016.0,10
199989.6,2016.0,11
205680.8,2016.0,12
173159.5,2017.0,3
179637.76666666666,2017.0,4
186116.03333333333,2017.0,5
192594.3,2017.0,6
195612.3,2017.0,7
198630.3,2017.0,8
201648.3,2017.0,9
207688.26666666666,2017.0,10
213728.23333333334,2017.0,11
219768.2,2017.0,12
185190.0,2018.0,3
192095.16666666666,2018.0,4
199000.33333333334,2018.0,5
205905.5,2018.0,6
208969.93333333332,2018.0,7
212034.36666666667,2018.0,8
215098.8,2018.0,9
221435.3,2018.0,10
227771.8,2018.0,11
234108.3,2018.0,12
196802.8,2019.0,3
203932.06666666665,2019.0,4
211061.33333333334,2019.0,5
218190.6,2019.0,6
221354.93333333335,2019.0,7
224519.26666666666,2019.0,8
227683.6,2019.0,9
234331.66666666666,2019.0,10
240979.73333333334,2019.0,11
247627.8,2019.0,12
183177.8,2020.0,3
197067.46666666665,2020.0,4
210957.13333333333,2020.0,5
224846.8,2020.0,6
229465.23333333334,2020.0,7
234083.66666666666,2020.0,8
238702.1,2020.0,9
246971.03333333335,2020.0,10
255239.96666666667,2020.0,11
263508.9,2020.0,12
245513.7,2021.0,3
253169.7666666667,2021.0,4
260825.83333333334,2021.0,5
268481.9,2021.0,6
271828.26666666666,2021.0,7
275174.63333333336,2021.0,8
278521.0,2021.0,9
287907.76666666666,2021.0,10
297294.5333333333,2021.0,11
306681.3,2021.0,12
257286.1,2022.0,3
261415.53333333335,2022.0,4
265544.9666666667,2022.0,5
269674.4,2022.0,6
276284.5666666667,2022.0,7
282894.73333333334,2022.0,8
289504.9,2022.0,9
298199.43333333335,2022.0,10
306893.9666666667,2022.0,11
315588.5,2022.0,12
268991.8,2023.0,3
